src,dest
MXP,BOD
BNE,SON
NCE,ETZ
PRG,LED
HKG,BKK
AYT,ZQW
BVA,KRK
SON,SLH
MEX,ORD
TWU,JHB
PMI,EXT
CWB,POA
ANC,SDP
JNG,PEK
TOY,DLC
FLL,PIT
BRU,TNG
FCO,CAG
SDJ,KIX
EDI,BSL
LIL,BIA
EUN,LPA
THR,RZR
KMG,HFE
REX,VER
SDQ,PHL
TXL,AOI
WUH,HGH
TNA,KHN
NRN,SDR
SFO,KOA
CJU,FOC
ONT,SEA
LED,TJM
SVJ,LKN
OKC,MDW
MEX,DFW
FLL,AVL
OLB,SXF
LAX,YVR
SVQ,MAD
ZRH,PUJ
DFW,PTY
AGP,SCQ
DUS,PUJ
FRA,HEL
WIL,NYK
MEX,BOG
KLO,ICN
VDA,CDG
NBO,JUB
INV,BRS
HEL,WAW
IST,CMN
GYD,RIX
SXB,BOD
CTS,NRT
IAD,MDW
KCZ,ITM
YWK,YUL
SEA,LIH
SLC,RNO
ALC,WRO
LOS,JOS
SFO,ICN
FOC,PVG
BRI,MLA
TFS,BCN
LOS,NBO
IKT,NER
GYE,LOH
IUE,AKL
DPS,CGK
HHN,IBZ
KRK,LPL
LPA,ARN
DUB,IOM
SEA,PHX
JMU,KHV
JED,SUB
VXO,ARN
LAS,MSY
FOR,MAO
SJO,XQP
FEG,DME
GUA,LAX
LHR,LCG
EBB,ADD
MCO,FLL
FCO,IKA
CGO,KHH
ZAG,PRN
ALA,DEL
RUH,JED
KAN,NDJ
HGH,DOH
PEK,GYS
LBB,LAS
BGO,VNO
PAV,SSA
CNF,AEP
KSD,ARN
BOG,CUR
AZR,INZ
YPX,YVP
CVG,RDU
SIN,KTM
LCY,RTM
CLT,MSY
YUL,CCC
AZI,DXB
BKI,BWN
GRU,CGB
KLU,TXL
ATL,SNA
XAP,POA
SVO,KRR
KCH,BKI
HNL,MEL
FNT,ORD
NAY,JUZ
RUH,DWC
LAS,IAH
AKL,KAT
TRN,CRL
YUL,VCE
LCA,MLA
MAD,AHO
PLS,PAP
SXB,RAK
PEK,DYG
RJA,HYD
EJA,BOG
BIA,MRS
DCM,AJA
MLM,IAH
BUQ,VFA
STN,FEZ
APL,MPM
DFW,RSW
MEA,CAW
TPE,TYN
FCO,PRG
BCN,MXP
AUS,ORD
LUX,XRY
HKT,DMK
CLT,IAH
AEP,PMY
RAO,CGH
MST,OPO
AER,OMS
MSP,RIC
IBZ,BRS
NRT,OKA
DAR,MCT
TGU,RTB
KUL,BLR
MDW,LGA
SHA,JGS
JGN,INC
TFS,EMA
BZG,DUB
IAD,OKC
ATL,MDW
ADB,CGN
POR,KOK
ZRH,TRN
OSL,MAN
JKR,KTM
HKG,OVB
DUS,TRN
POA,MVD
SKG,SKU
CGA,KLW
PVG,CMB
SKP,HHN
LPA,STR
ATH,FRA
EZE,MVD
TAO,WUS
WMO,OME
AMD,HYD
KTM,DAC
CDG,DXB
DXB,HAM
DWC,KWI
DME,LED
CLY,CGN
OOL,CNS
SVO,KGF
ABV,ACC
PBG,SFB
FCO,KIV
KMG,RGN
PBI,ISP
MNL,DXB
NBE,DRS
AMM,AUH
LGA,CHO
RBV,HIR
SAT,JFK
AEP,REL
ADE,CAI
DTW,BMI
KRK,HEL
MSP,PIA
ORV,OTZ
MDC,BPN
BHX,INV
TAO,XMN
SXM,SDQ
JNB,PZB
SYZ,BDH
KUL,DMK
ELH,MIA
LPL,PMI
CKY,ABJ
YUL,BDL
CLT,MOB
GYN,BSB
CNP,OBY
NAP,IST
CGP,DAC
TFS,DME
LPA,TFN
OME,SKK
DSA,JER
FRA,MAD
SDQ,ORY
CGO,SHA
KBP,LHR
BCN,STR
YUL,YMT
VIE,ATH
CWL,DUB
MAR,PMV
SAP,MEX
SSA,AJU
ADD,KRT
ASB,MSQ
IST,KIX
TBS,KBP
DEN,SDF
DCA,SEA
HAM,PRN
SIN,CEB
SPU,PRG
GIG,NVT
MXP,PMO
MNL,ILO
HIR,RNA
LWN,DME
KVL,OTZ
CUN,FLL
RIA,GEL
TSE,DZN
SGN,VCS
PHL,BTV
YYR,YWK
SOG,HOV
JTY,ATH
BSL,SAW
KIN,NAS
MSP,JAX
KVA,ATH
BEG,VIE
TSA,MZG
CMW,YYZ
DFW,ONT
CAN,CIH
CAN,NNG
VKO,TAS
BVG,HFT
ICN,CKG
TUS,DEN
MTY,BJX
EWR,PBI
CTU,KTM
MPA,NDU
LAS,CPR
CCS,CBS
MSP,MCO
SSA,MCZ
LRM,MIA
HKG,PNH
ACH,EBA
PVG,KIJ
WAE,RUH
CHQ,VNO
ATL,OKC
XFN,SZX
YLW,LAX
GRR,STL
MLA,LTN
BEW,UEL
SVO,BOJ
LGA,AUA
KKH,BET
RUH,ATZ
FAO,BRS
SAH,TAI
LEI,DUB
LIL,CFU
DYU,KRR
BGO,HAU
SAV,DTW
SJC,SLC
DTW,BDL
AUH,BRU
GUA,PTY
SXB,PMO
BWI,PVD
BCN,LTN
OVB,TJM
SJU,BWI
OMA,DCA
FRA,VRA
YVR,YYJ
MOU,KSM
JED,ADE
AJA,BES
PMO,STN
HND,SIN
JED,OMH
KGS,BSL
BOS,CAK
DAX,CAN
APN,DTW
MJZ,DME
NAN,ICN
HFA,SDV
HRG,SSH
CDG,YQB
YIH,KMG
SJU,DCA
LIM,PIU
SHE,WNZ
MDC,GTO
STR,KVA
SJJ,ARN
TXL,FRA
FRU,KJA
MEX,TAM
YYZ,YQT
PEK,KHV
SRG,SIN
LGW,PUJ
VIE,EVN
HTI,CNS
FCO,NAP
MUC,HER
DFW,MHK
LAE,HKN
HCR,ANV
PLJ,PND
IST,GNY
TSE,FRA
NAN,SUV
UME,ALC
YKL,YVP
TPE,KUH
DFW,GUA
LJG,TNA
CLE,SYR
BNE,HKG
SHE,YNT
DEN,HSV
HGH,FOC
MAA,RUH
UPG,KDI
ORD,YXU
CNX,HGH
AMS,DOH
CKG,DMK
IBZ,GVA
SYR,BOS
MBJ,FRA
LIM,MEX
CIH,TYN
GIG,FOR
LOE,DMK
FCO,LYS
BGO,KEF
WRO,BLQ
RAK,LIS
FCO,ZRH
ANU,NEV
KOI,ABZ
CZS,RBR
YQT,YXL
DFW,ELP
LRM,SJU
SUR,YXL
JYV,KEM
KHH,CTU
KRK,MAD
JUB,KGL
VRA,YYC
CPH,GVA
NRT,SYD
TAS,FEG
MPL,LYS
MCO,MIA
KWE,TNA
SKG,NYO
QSF,MLH
RDU,PHL
LED,MRV
HLD,JGD
PVG,PNH
SAW,VIE
BOS,PBI
ABM,CNS
URC,KWE
AMS,KBP
CSX,TPE
YQR,YVR
IMP,SLZ
CNF,POA
CLT,LIR
REC,FRA
GCM,DTW
TNA,KMG
CPH,TRF
LIS,BOS
TXN,PUS
SFO,BFL
RHO,MAN
DEL,KWI
KOJ,NGO
UAP,NHV
JNU,ANC
GAL,NUL
JNB,DXB
WUX,FOC
LIS,FAO
IAH,JAX
ARN,ADB
HAJ,PRN
GIB,LHR
BRI,DUS
WWT,BET
SZB,AOR
AER,VKO
SFO,PHL
LPB,CIJ
BGO,FCO
IAH,MCO
SJJ,STR
CCP,ZCO
GLT,BNE
NCU,VKO
FRO,FDE
ISB,BHV
ZRH,BUD
CFU,SKG
TLV,ARN
JIJ,DIR
DUS,BUD
FRA,LCA
TXL,HER
TGZ,MTY
CLT,GRU
DAC,BZL
LBA,NCE
BTS,AHO
YYZ,RDU
RUN,SMS
TTQ,SJO
LSE,MSP
HOU,SAN
BEY,CDG
RGN,SGN
FRA,MCT
CGQ,CAN
MQH,BSB
YOW,IAD
BJI,MSP
TAM,MEX
RDU,HOU
RAP,SLC
ZRH,PEK
LGW,TRN
ATM,ORX
TPE,TNA
DTW,AZO
DUS,PEK
TSN,CKG
DAR,DZA
DJJ,MKQ
GTO,UPG
CNP,KUS
VLC,TFN
SPU,ZRH
EIN,LIS
SPU,LYS
MMX,SKP
EGM,VAO
YYZ,YYT
SZG,SXF
EBB,BRU
LUX,NAP
TLV,LHR
JAN,MCO
IBZ,TXL
REU,DUB
MAO,STM
YHZ,DCA
MLE,KDM
LYS,BOD
QUB,TIP
LCA,DUS
STN,BLQ
DPS,KOE
RSW,IAH
LBA,AYT
RUH,ICN
PPT,IPC
CDG,SXM
BRI,PRG
FAO,GVA
OSL,BEG
TRD,KEF
SAW,SHJ
LCY,FCO
NNG,KWE
BAH,BKK
IST,NBC
ARN,HAM
TUN,MLA
YUL,YZV
DFW,AGU
BIQ,LYS
PDP,ROS
SMI,NUE
CRL,FEZ
YYY,YZV
HOU,MAF
IND,FLL
ESB,BGW
JIQ,CAN
HOU,BOS
TIA,SAW
PHX,PIT
SVO,SGC
YXC,YLW
LAE,GKA
MLA,BGY
DFW,ICN
TDD,LPB
SID,SNE
BUD,HEL
TRS,STN
RAK,RTM
DME,VOG
YOG,YFH
PHL,IAD
EDI,BHX
LOS,QOW
IPT,PHL
LIS,KBP
FRS,GUA
BCN,BGY
POS,FLL
AHO,CUF
STS,SAN
LHR,BCN
FRA,FNC
MSP,SLC
RZE,BVA
KZN,SVO
OOL,NRT
LAS,YYJ
ULP,CTL
LHR,ZAG
ONG,DMD
PCL,IQT
DUB,BVA
BNE,MOV
FNA,ACC
MXP,HKG
SIN,KWE
GVA,LGW
TPS,AOI
PEK,MIG
IST,VLC
MKY,SYD
DUS,KLX
GSE,BUD
ARN,LUX
LIM,VVI
WMI,PIK
XIY,NKG
YYC,MCO
PMI,TRF
YYZ,NAS
NNG,LZO
LYS,RAK
DZN,TSE
ZRH,BOD
GEA,TOU
ARN,POR
DXB,PZU
TEN,PEK
CUN,MIA
SUB,TRK
POZ,CPH
SLC,GDL
TTU,AHU
TAS,VOG
NAS,CLT
GRU,FRA
AUS,BNA
LPL,WRO
MCI,MSY
KIX,FUK
BRI,FKB
LRR,THR
CGN,FNC
WAW,RZE
JAX,CLT
PEK,ADD
MXP,ALG
DRO,PHX
FUK,SHE
GDN,MUC
CKG,LJG
MEL,MGB
FEZ,HHN
LAX,YYC
BHM,IAH
YWK,YVB
ALG,OUA
PNQ,CCU
KUL,PLM
MDW,BDL
CHC,SIN
GCM,YYZ
HNL,EWR
TNA,WUH
DMK,UNN
IST,AMS
LCA,KIV
VKO,MLE
STN,SDR
ANC,MCG
ROC,BWI
AUH,RYK
FAO,TXL
EWR,MEX
DCA,HSV
GOI,HYD
UFA,GYD
FMO,IBZ
DLM,MUC
ACY,MYR
HNL,ATL
OPO,GIG
PFO,BHX
SWF,PIE
DLG,ANC
MED,KHI
EIN,RTM
MCI,IAH
DXB,CMN
CDG,HER
BGW,AUH
SVA,GAM
SSA,CGH
JED,ELQ
GIG,MVD
IFN,AWZ
IBZ,BLQ
LRM,JFK
ZRH,RAK
ALG,DOH
ROC,DCA
DAC,MAA
TMU,SJO
TNO,SJO
HAH,DAR
KLX,SKG
BOM,IKA
KUL,BDO
BSB,NAT
SGN,AUH
ADL,KUL
MLE,KUL
PRG,ARN
YHZ,LGA
BSB,POA
FOR,JPA
LPB,IQQ
SVO,PMO
LUX,VAR
WUH,CKG
GYE,SCY
MYY,MKM
NGO,TPE
LHR,BWI
MJD,SKZ
DAX,KMG
DXB,HYD
DXB,PEW
SNN,TFS
BGY,ALC
DMK,SZX
GYD,ASB
CAN,SYX
LPL,SZZ
LIM,UIO
LED,UFA
LEX,SFB
SNN,ALC
YYE,YXJ
EIN,VNO
KUL,BWN
DEN,MEM
YYZ,MYR
KKE,AKL
YQG,YYZ
SFO,TUS
LHR,MAN
YYG,YUL
GRO,FMM
AYT,GRQ
RAB,CNS
AUH,GXF
DTW,SBN
SHE,XIY
NAY,NZH
NUE,HRG
OPO,LIL
KVA,MUC
CPH,EWR
BOG,FLA
ORN,FCO
NRT,CMB
HRK,KBP
MPM,ADD
DPS,UPG
BUD,MAD
GUA,MGA
VIE,ODS
ATL,MEI
CPH,NCE
LAX,PVG
KRT,IST
TPE,SZX
IAH,SLC
REP,HAN
BEG,TGD
BIA,BRU
CLE,AUS
DME,LLK
DMK,DPS
SJC,PDX
YTH,YWG
MLE,FVM
CTU,KWE
DFW,ROW
EMA,JER
LIL,OUD
UCT,VKO
DOH,ARN
JAV,JEG
VCE,MRS
MRU,JNB
FCO,DME
PSA,LIS
MBJ,GCM
SVG,GOT
CCJ,CJB
MRA,CAI
TPA,PHX
MIA,PNS
NUE,RHO
SFO,SMF
KIV,MUC
GIS,WLG
LYG,NAY
COR,LIM
ACC,NYI
XNN,MIG
OTZ,OME
THL,MDL
JNB,FRA
SIN,WUX
HKG,MXP
CPH,AYT
IAH,LCH
NAS,IGA
YUL,CLT
TPE,DPS
HET,TYN
DOH,LHR
YVR,LIH
IXJ,SXR
IST,TIA
ALC,EXT
LGW,PEK
TIJ,NRT
CLE,JFK
IEV,BCN
XNA,LAS
STR,ADB
IAD,HSV
OKA,MMY
JAV,GOH
AMS,INN
ICN,ORD
NMA,SVX
PHL,LAS
LHW,HFE
BRS,BZR
SJW,XMN
ADD,FIH
MCO,LGW
BGO,AGP
AEP,SCL
IEV,GRO
JAI,AUH
BNE,POM
LBV,IST
OBU,ABL
JED,SAH
ERI,CLE
KCT,DIW
BKK,FUK
SJO,NOB
ZRH,CAI
TIJ,PVR
NCE,ORY
LED,TLV
HKG,NRT
SBW,KUL
NRT,KIJ
OSL,DUB
BIO,VLC
LPA,CRL
COR,BRC
GET,PER
MKE,LAX
LCA,AUH
ICN,DFW
MXP,CPH
RIY,ADE
HAM,XRY
DXB,KIX
CRA,BGY
HND,HNL
RYG,BZR
UIO,MEX
MGA,ATL
CTU,YCU
IND,MIA
PDX,SJC
VKO,ALA
EMA,GCI
LED,MUC
DTW,CLT
CVG,DCA
YYC,SLC
KOC,GEA
YYZ,CMW
SHM,HND
POM,BUA
PEK,FOC
DAC,RGN
TSE,PPK
STN,LIS
NVT,CGH
VLI,TAH
NUE,SKG
SHJ,KWI
NBO,POL
VVO,PEK
BHD,IOM
YYZ,ZRH
HKG,DEL
LAD,PEK
AOK,KSJ
THS,BKK
DME,PWQ
JFK,PHX
MKE,SFO
VGZ,BOG
PLS,SJU
ADD,JIB
LGW,KLX
BEL,GRU
STR,HAM
DJE,DUS
SCQ,TFN
POS,MIA
ROB,FNA
GAM,SVA
TSA,KNH
DEN,TYS
MRS,CLY
TYN,TNA
BCN,CRL
EDI,ACE
YKS,ULK
BIO,AMS
OAK,AUS
LGW,BOD
SEA,MFR
COS,ORD
MRA,TUN
CAN,JIU
CRL,BLQ
CUN,AUS
DEN,ORD
VGA,HYD
SNN,LPL
DME,LHR
CVG,PGD
FNC,MUC
LEB,HPN
ABZ,NCL
MXP,JMK
TUN,DUS
DPS,HKG
KCM,ESB
PHB,FOR
HAM,IKA
LTN,SSH
SVX,IST
ATL,HSV
MSA,ZRJ
UBP,BKK
SVO,PEE
SJD,GDL
KUV,CJU
YUL,MBJ
AET,BTT
COS,DFW
MDE,LIM
CHQ,ZTH
BET,MLL
NBO,BKK
BJM,KGL
ANC,FAI
DFW,PHL
LAX,UPN
AMM,BAH
AKL,APW
SIN,FUK
DEN,DFW
PVG,HAK
AUH,ALA
TVC,MSP
IAD,PEK
MCO,JAN
DRW,GTE
RHO,KUN
AOO,IAD
LHR,VKO
STN,LEJ
TRD,AGP
CUN,AMS
ORD,FLL
OAK,JFK
CKG,ZAT
APL,TET
ATL,SAL
ZAZ,PMI
ZAD,BVA
BLQ,ORY
BUS,DME
BUD,LCA
CUN,JFK
TRF,CPH
ADL,SYD
DME,CIT
LIS,BRU
TFS,STN
TNR,JNB
IEV,DME
NIM,COO
LGW,RAK
SAW,JED
CCJ,MCT
LHR,LOS
VNS,CCU
LHE,DXB
NYK,MRE
DXB,AZI
YZT,YVR
SKG,RHO
STR,JER
POM,WBM
ESC,DTW
RHI,IMT
SKT,BAH
ARN,CMN
RJL,MAD
AGP,AAL
BMU,DPS
DXB,LFM
SFO,YUL
HAM,PRG
EWR,DEL
MUC,DTM
PMV,STD
CFU,EDI
DEN,EUG
HEL,FRA
BGY,PSR
BOM,AUH
CUN,LGW
IKA,ARN
YKQ,YVO
SJC,SNA
SVO,HKG
ORD,YKF
YQR,YYC
MSO,DEN
ORD,MUC
MSP,PDX
TSN,CTU
PHL,MKE
SXF,XRY
FRA,RIX
PVG,DEL
DTW,MBJ
ADL,CPD
SYX,CGO
AJA,LGG
CGO,KWE
OSL,GOT
AMS,EXT
LGA,SRQ
JED,SHJ
SXF,CAG
AHN,BNA
LHW,JGN
MSP,DSM
ANI,CHU
IPN,PLU
IKT,NZH
MMX,ARN
CMB,MAA
CGR,CGB
LNZ,SZG
AUH,MAA
KUL,SBW
ORY,RBA
JRO,ZNZ
PMO,FRA
PEK,BRU
TSE,UKK
FUE,LEJ
MAD,MJV
PFQ,THR
IKA,LHR
LGA,SAV
HMB,KWI
HAJ,XRY
DTW,ILG
JMK,MXP
LYA,BHY
RDU,DTW
CNX,CKG
SID,LUX
MSP,LHR
KUL,SRG
CTS,AXT
SVO,ALG
LHR,BEG
EMA,DBV
YUL,LAX
VOZ,LED
TAI,RUH
LAS,PHX
ORY,BUD
MCO,TLH
SJC,MDW
LAX,IAD
ZAG,ZRH
LUV,DOB
SSH,IST
HRL,IAH
VKO,TXL
KIH,IFN
DUB,IAD
KWL,NGB
GRU,CAC
LUX,CFU
YYZ,BCN
TSR,DTM
HAV,MEX
REC,JDO
SZX,HGH
SFO,DTW
STN,VNO
PEK,TAS
ICN,OIT
HME,ALG
BKK,PVG
NAS,PTY
JNB,BBK
CGO,UYN
HIR,NAN
KWI,IKA
VLC,CRL
YUL,SFO
VCE,SUF
DEN,FSD
DEC,STL
SVG,OSL
VTE,VII
YNZ,DLC
DMK,MFM
OLB,LIN
RAK,BSL
OLB,HAM
ALC,BRS
ABZ,LGW
MSQ,KRR
LHR,CTU
MUC,PRN
PRG,BGY
JFK,KBP
CUN,QRO
MFM,HFE
KBU,UPG
KOV,DME
DLM,NCL
URC,HET
KIX,CTS
LTN,RZE
TZA,DGA
ARN,MXX
DFW,AEX
DTW,LAX
HRG,CAI
CLE,FNT
AMD,KWI
PMV,BRM
OVB,MUC
ORD,MBS
WDH,VFA
LPS,WSX
BOG,SAL
LHR,CDG
JHB,PEN
AMM,ADE
TYN,SZX
HND,SHA
EAT,SEA
BPX,CTU
PLS,JFK
LGW,PMO
FAO,LIS
BON,CUR
BMA,HAD
DTM,PMI
BMA,RNB
NNG,PVG
AJU,VCP
KBP,MSQ
TPE,MFM
FLL,GSP
SYR,CLE
DCA,TYS
CID,AZA
CDG,VGO
TIP,IST
LCY,BVE
ICN,KWL
DCA,CHS
YQB,YZV
NUE,LPA
TFF,IRZ
DBV,VCE
DBV,WAW
BEN,AMM
BEW,MPM
BLL,AMS
BCD,CGY
XNN,YUS
JED,LAX
CTU,CZX
MKE,RSW
YKL,YWK
NAP,FCO
GCI,MAN
ASU,LIM
EMA,NBE
DTW,SFO
EDI,SOU
MIR,MRS
JFK,CUN
PMW,AUX
FLL,STT
IAH,PDX
SVO,KRK
NSK,VKO
BVC,LGW
RUN,TNR
MDW,CLT
BKI,JHB
IVL,KTT
BEY,DXB
VPE,CBT
LDE,BRU
ZSJ,YRL
KTW,ALC
PIK,RIX
EBU,FEZ
DTW,ATW
CUN,HMO
HAM,NAP
WMI,MRS
IAH,DSM
DFW,TUS
STN,POZ
AJA,BOD
SIN,PVG
TTN,MDW
ADD,HGA
POR,HEL
DUB,LBA
IKT,KJA
WUH,CTU
DCA,DFW
YIW,SHE
TLL,SPU
BRS,VLC
GRO,RBA
VKO,IST
MKG,ORD
SEA,YKM
EGC,BRS
IAH,LHR
TXL,PRN
LGA,ORF
GDL,SAT
BWN,BKI
WNZ,CGO
SYR,MSP
SLC,ANC
ELS,DUR
LMA,FAI
DEL,IXJ
MQX,SZE
YYZ,DCA
HAM,ZRH
KHH,OKA
ALC,MOL
WUH,CDG
BGY,MAD
CRL,TPS
DAC,BOM
KZN,LBD
RDU,STL
SMF,IAH
MFE,SLP
HGU,TIZ
CSX,YNT
KIV,VIE
SRX,TIP
MEX,TAP
MSN,EWR
SDG,THR
CEN,MEX
RMQ,SZX
CGQ,TPE
AGA,AMS
SKG,SVO
CRM,MNL
NAY,HLD
GRU,JDO
THE,VCP
SXR,IXL
VNX,INH
RUN,DZA
CIT,LED
FIH,DLA
TRV,CMB
TAS,ATQ
ABV,ABB
PPS,CEB
DFW,SMF
NWI,EDI
AMS,POP
NLK,AKL
MSN,ATL
LXS,MJT
AMS,CAN
POS,JFK
CKG,KHH
DUR,LUN
CPH,LHR
CPT,JNB
BRS,AMS
SPU,CDG
MAO,PTY
PEK,ENY
FCO,VCE
KOP,DMK
FCO,WAW
RIX,SVO
LYG,SHE
BGO,PMI
SVO,CPH
SUF,DUS
SYZ,ZAH
KUL,PUS
AUA,LGA
KER,IFN
ORD,MIA
ALG,AMM
ORY,ESU
KUL,MCT
TIP,DJE
MLA,MAN
STN,HAU
ILO,MNL
MLE,CMB
NAY,CSX
ORD,AVP
CVG,CDG
SBH,SFG
OTZ,PHO
AUH,IST
AGA,LGW
JED,LXR
LAS,OAK
NCL,PRG
DUB,LIN
KMG,LZH
POS,LGW
MSN,SLC
EWR,RDU
MUR,BBN
AKL,WLG
DUB,HAM
SGC,SVO
LPB,VVI
LTN,REU
AOI,DUS
BCN,BUD
BCN,MAN
YYC,PDX
KSY,ESB
JTR,AMS
INC,XIY
SWA,CGO
MJT,ATH
MQM,ADB
VCP,CGB
DUB,SEN
TNC,WAA
LAS,LIT
ACE,NCL
ERS,NDU
LAX,LAS
PVD,DCA
AEP,BHI
LIN,CPH
IAD,TYS
OKC,ORD
EZE,SCL
IAD,CHS
SFO,SBP
RMI,DME
GRU,CWB
LZY,CTU
YXU,YWG
BOS,ROC
MIA,MCO
LED,VIE
MDW,MBJ
LHE,MHD
TXL,KGD
OAX,TIJ
PSA,FCO
AMS,BRS
OAK,HNL
ALC,GVA
VIE,JFK
OTP,CPH
PEK,FUG
DME,BHK
HGH,KMG
MAD,CCS
LCY,PMI
CMN,TIP
GOQ,XIY
ADD,PVG
LEJ,STR
YYC,LHR
BRI,CIA
ATH,MLA
CLT,LIT
ALB,OGS
DUB,LUX
BLR,IXG
CKY,CDG
DEN,BNA
OPO,LUX
LUK,MMU
SXF,NAP
JTR,LGW
OKC,DFW
FAE,BGO
CIA,MAN
MAN,ADB
RIY,SAH
KUL,BNE
HEL,MHQ
LRE,BNE
BHX,ACE
UPG,LOP
MDW,ILG
BRU,ADB
JSR,DAC
JED,AQI
MQL,MEL
IAD,DFW
CUK,TZA
CTU,PVG
GNU,PTU
KIV,VRN
BOI,LWS
VIE,LGW
YXT,YVR
ORY,FLR
CNS,AKL
IAD,BOG
VSA,IAH
HND,MMY
BWI,LAS
ALA,VKO
TUB,PPT
KOA,SJC
MDW,CMH
DBV,STN
SXF,LYS
YVZ,ZSJ
HAJ,NAP
JER,BHX
SVO,SIP
DUB,JER
KMG,WXN
BUF,BWI
AVL,ATL
KMG,TSN
ATL,MLB
NOC,STN
ASJ,HND
LGW,PVK
TBP,LIM
GDN,LPL
PHL,SYR
MRS,TUN
STL,TBN
PUJ,BOS
PZU,JED
NGB,SYX
SCL,AKL
IST,KSY
YHU,YVO
BOD,BRS
CLJ,BGY
FWA,MSP
SVO,HRG
AKL,NAN
TLV,MSQ
CAI,ZRH
TVS,SJW
PMI,LHR
LJU,CPH
YGJ,ICN
BUF,DCA
PHX,SAN
ADD,BJR
YYZ,IND
SYX,TNA
POM,GKA
ASU,AGT
ORD,SJC
YTQ,YPJ
SAW,HAJ
KWL,SHE
EKS,UUS
WNZ,HRB
GRO,RAK
HHN,VOL
ATL,TYS
MSP,PSP
BOS,RDU
LED,KVD
ATL,CHS
AGP,ARN
HOI,GMR
AMH,ADD
LPA,RAK
HBE,DXB
CZM,IAH
MAD,NTE
PEK,NGO
XIY,BHY
JED,DMM
HBA,MEL
ALC,TXL
BGO,KTW
MDW,LAX
HKG,CRK
CUR,BOG
CPR,LAS
DTW,RSW
SOF,BRU
BVI,WNR
GRU,PLU
ESM,GYE
DME,GBB
LIS,BRS
PEN,BTJ
DFW,YUL
HAK,CKG
NKG,LJG
AUH,MNL
GHE,PAC
CRL,VNO
BNA,SAN
YYU,YTS
LUN,JNB
AGP,LHR
SFJ,JAV
BRE,AYT
HAN,VCA
EBB,IST
PHX,BOS
CXR,SGN
LTN,BOD
KHN,TSN
ATL,DFW
STR,BVC
CFU,CGN
DCA,FAY
YNZ,PEK
TDD,GYA
ORY,BLJ
JED,DWC
BOI,ORD
MDW,SFO
ATL,BOG
CHU,CKD
MAA,HRI
TXL,MLA
BUD,RIX
UUS,SVO
MQL,ADL
ODS,VIE
PEK,HET
LGW,ALG
FOC,SIN
LGW,SID
IST,ORN
ACE,LGW
LAX,MKE
JSU,GOH
NTE,ATH
BEY,FRA
CMB,IXM
DSN,TYN
JFK,BRU
VCS,VCA
FUE,FCO
LAX,HND
ATH,TBS
EWR,MYR
KZO,KGF
STX,MIA
KJA,DME
HGH,WUH
BNA,BOS
MGF,LDB
YHO,YSO
DME,LWN
SJO,MEX
BEY,MHD
IOM,BHX
VVO,HKG
EDI,KRK
GDN,HEL
LHR,GOT
DMM,KHI
PVG,SHP
RIC,CVG
BLQ,AHO
RIY,SHJ
VCP,VIX
NRT,DEL
AMS,GVA
YQB,YGR
BZV,ADD
TYN,MFM
KUL,KTM
BAH,TRV
AGP,STR
PFO,GLA
LTN,RAK
GOT,AAR
MRS,DUB
ORY,TUN
LGW,GLA
VTE,XKH
KTN,SEA
UPG,JOG
DFW,DTW
RGN,KUL
TJU,LED
PHL,SJU
BWT,LST
MSP,MSO
GOJ,SVO
ADB,MAN
BWI,MKE
BDS,ZRH
SEN,BCN
ICN,KUL
BKK,LPT
TLC,CUN
YWG,YFO
BLJ,ORY
YYT,YAY
AMS,TRF
GOI,KWI
BGY,BDS
EVN,ROV
KVG,MAS
BJV,LPL
TOS,TRD
LIL,FSC
CMB,KCT
CMB,BOM
FNC,LGW
AUH,BOM
CLT,SAV
KCH,MZV
DLA,COO
JNB,ELS
RJK,STR
LUM,PEK
CHA,DTW
HSL,KYU
HER,TLV
TNA,WNZ
MAD,TLS
BRU,DJE
AGP,TFN
LAS,MTY
ODS,SHJ
CAI,BCN
IAH,PSP
DME,SSH
DUS,RHO
BCN,FLR
SHJ,TUK
IST,CZL
DRS,AYT
IST,DYU
ICN,OKA
GYE,AMS
RAI,LIS
RIX,AES
OTP,SKG
KMG,XIY
PNQ,BOM
EMA,VLC
LMP,PMO
CMN,LGW
KOJ,KIX
AKL,WAG
PRG,MSQ
BOD,GVA
HER,MUC
DXB,KWI
MAD,VIE
YEG,YUL
DME,PUJ
GYE,JFK
BRI,VCE
BIQ,STN
EDI,CPH
STX,VQS
WNZ,TNA
TNA,YNT
PFO,KRK
WAW,GLA
TLV,BUD
WUH,INC
SAW,ERC
LED,KQT
TBS,IST
LGW,KRK
ARN,TLL
YRT,YFB
ATL,FSD
TUL,SFB
CHQ,KTW
DVO,DPL
FRA,ASB
WUH,HYN
AMM,SAH
YYZ,CDG
GLA,DUB
IAD,FAY
ORK,LPA
NRN,PMI
WNZ,SYX
RMQ,MFM
HHN,XRY
KOW,CAN
JNB,APL
SVO,KJA
TLV,PEK
MXP,EDI
PHX,SBA
EDI,FUE
HHN,CAG
LYS,SXB
ESM,UIO
HAN,PQC
BCN,CAI
BOG,DFW
JED,ATZ
KRK,PFO
SVO,SCW
PEK,ALA
LDB,MGF
AMS,TXL
RLG,MUC
BOS,MYR
WLG,BHE
NZH,COQ
PVE,CZJ
HNL,IAH
WRO,AGP
BRD,INL
TKU,CPH
ABL,OTZ
MSP,SEA
EMA,AMS
JFK,SJO
